# myabc 笔形辅助码数据表（字 -> 笔形码，横1 竖2 撇3 捺4 折5，取前两笔）
#
# 数据来源与 License：
#   本表的笔画顺序原始数据取自 cnchar-order（https://github.com/theajack/cnchar，
#   npm 包 cnchar-order@3.2.6，MIT License，Copyright (c) theajack）。
#   转换方法（详见 docs/decisions/_debt-log.md 2026-09-12）：
#   1. 从 cnchar-order 的 char_stroke_codes 表取每个字的完整笔画顺序（26 个字母
#      分别对应 25 种具体笔画，字母含义已从源码 stroke-table 精确核实，非猜测）。
#   2. 取每个字的前两笔（单笔字只有一笔），按下表归并成智能ABC/郑码惯用的
#      五笔形分类：
#        横(j)、提(i)             -> 1（提归入横，五笔形分类惯例）
#        竖(f)                    -> 2
#        撇(s)                    -> 3
#        点(k)、点2(d)、捺(l)     -> 4（点归入捺）
#        其余（横折/竖折/横钩/竖钩/横撇/竖提/撇折/弯钩/竖弯钩等一切带转折的
#        笔画，源数据里统一标注 type=折笔）-> 5
#   覆盖 cnchar-order 原始数据的全部 6939 个单字条目。
#
# 格式：每行 "<字><TAB><笔形码>"，'#' 开头整行是注释，空行跳过。BihuoTable 对
# 未收录的字一律放行（fail-open，不参与筛选），所以覆盖不到的字不会被误伤。

妲	53
妹	53
妻	15
妾	41
姆	53
姈	53
姊	53
始	53
姐	53
姑	53
姒	53
姓	53
委	31
姗	53
姘	53
姚	53
姜	43
姝	53
姣	53
姥	53
姨	53
姬	53
姮	53
姹	53
姻	53
姿	41
威	13
娃	53
娄	43
娅	53
娆	53
娇	53
娈	41
娉	53
娌	53
娑	44
娓	53
娘	53
娜	53
娟	53
娠	53
娣	53
娥	53
娩	53
娭	53
娱	53
娲	53
娴	53
娶	12
娼	53
婀	53
婆	44
婉	53
婊	53
婕	53
婚	53
婢	53
婧	53
婪	12
婴	25
婵	53
婶	53
婷	53
婺	54
婿	53
媒	53
媚	53
媛	53
媪	53
媲	53
媳	53
媵	35
媸	53
媾	53
嫁	53
嫂	53
嫉	53
嫌	53
嫒	53
嫔	53
嫖	53
嫘	53
嫚	53
嫜	53
嫠	11
嫡	53
嫣	53
嫦	53
嫩	53
嫫	53
嫱	53
嬅	53
嬉	53
嬖	51
嬗	53
嬛	53
嬢	53
嬲	25
嬴	41
嬷	53
孀	53
孃	53
子	55
孑	55
孓	55
孔	55
孕	53
孖	55
字	44
存	13
孙	55
孚	34
孛	12
孜	55
孝	12
孟	55
孢	55
季	31
孤	55
孥	53
学	44
孩	55
孪	41
孬	13
孰	41
孱	51
孳	43
孵	35
孺	55
孽	12
宁	44
它	44
宄	44
宅	44
